Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP,Month,DayOfWeek,MCP_Rolling,YearMonth,Quarter,IsWeekend,WeekOfYear,Day,MCP_lag1,MCP_lag7,MCP_roll7,MCP_vol30,MCP_Capped
2022-07-05,0.1262903310056025,0.19587351881339343,0.38614050948795764,0.38614050948795764,6651.49,7,1,0.26767485693591125,2022-07,3,0,27,5,0.45874877369447814,0.6971488141478597,0.26767485693591125,0.6072324186541731,0.7864815668861035
2022-07-06,0.11609893871325543,0.14376894944649363,0.26972108733724076,0.26972114174425516,6630.41,7,2,0.3242744872907341,2022-07,3,0,27,6,0.5770074762350448,0.23275591062799858,0.3242744872907341,0.6020364085257597,0.7821798947845285
2022-07-07,0.10424360599914798,0.17095241614540993,0.3530119151905636,0.3530119151905636,6783.3,7,3,0.39987599055417417,2022-07,3,0,27,7,0.5746304168874958,0.16203476766929728,0.39987599055417417,0.6028328323870726,0.8133792613694336
2022-07-08,0.09775704481929581,0.18415392023148056,0.39384862325498343,0.39384856884796904,5324.39,7,4,0.43486759204211717,2022-07,3,0,27,8,0.5918708629807965,0.20499604891132459,0.43486759204211717,0.6015166321916356,0.5156680447798353
2022-07-09,0.06254867276947942,0.18218230436915056,0.293222686876261,0.29302176177203215,3552.96,7,5,0.4202394565373277,2022-07,3,1,27,9,0.4273587352420474,0.25855503861747253,0.4202394565373277,0.6189503153783684,0.15418270270711487
2022-07-10,0.05653474130670458,0.22732486333107138,0.28917094210587685,0.2891708876988624,2968.83,7,6,0.4059392183489721,2022-07,3,1,27,10,0.2276056878023478,0.20126759715521617,0.4059392183489721,0.6212954835719877,0.034982715767219896
2022-07-11,0.06484998399016755,0.17722804730838917,0.27473545541364214,0.27473550982065653,4201.17,7,0,0.376115882869376,2022-07,3,0,28,11,0.161737012437839,0.3887288387430283,0.376115882869376,0.6189123052636285,0.2864591198305452
2022-07-12,0.06798238344650216,0.1882019273622281,0.2976186104198247,0.2976186648268391,3724.56,7,1,0.31383603261695253,2022-07,3,0,28,12,0.300700262739482,0.4889374294704395,0.31383603261695253,0.6288744851773072,0.18920010937837972
2022-07-13,0.07185838712316951,0.18876633140507526,0.30668189410186075,0.30668189410186075,4113.17,7,2,0.2602736548869042,2022-07,3,0,28,13,0.24695594321218756,0.48692318644074273,0.2602736548869042,0.5788951778885985,0.2685014753837426
2022-07-14,0.06578583899177429,0.18822937536532763,0.30380680983219627,0.3038070274602539,3762.78,7,3,0.19600237635121992,2022-07,3,0,28,14,0.2907770548370001,0.5015321815455971,0.19600237635121992,0.4926184832547095,0.19699944086425247
2022-07-15,0.07126131961947069,0.18079992475090534,0.2888107132634454,0.2888107132634454,4150.62,7,4,0.1710266441571508,2022-07,3,0,28,15,0.25126577282619733,0.36212993778588065,0.1710266441571508,0.47258355158436033,0.2761436774807057
2022-07-16,0.06920473175154346,0.15312173108750618,0.24539054252661713,0.24539048811960273,4718.15,7,5,0.19581980925355585,2022-07,3,1,28,16,0.29500005638186316,0.1928656811399775,0.19581980925355585,0.4695174723801135,0.391956199672681
2022-07-17,0.05865965748065678,0.16384684121769158,0.2587813057280847,0.2587812513210703,3908.95,7,6,0.21582388615983944,2022-07,3,1,28,17,0.35899685389204,0.13705070101963887,0.21582388615983944,0.47360389525040253,0.22682749641867428
2022-07-18,0.12974666311854965,0.14646800905676605,0.26999301359527916,0.26999301359527916,5753.41,7,0,0.24885278495681157,2022-07,3,0,29,18,0.2677484466796721,0.2548036543031512,0.24885278495681157,0.4735134983802051,0.6032156427408263
2022-07-19,0.14820612728410895,0.1471794713303189,0.32444681804112663,0.32444681804112663,6466.73,7,1,0.3072012719266702,2022-07,3,0,29,19,0.47573662904117014,0.20926246026217651,0.3072012719266702,0.46486096904978486,0.7487786761134759
2022-07-20,0.10671298800593952,0.18568667262388666,0.4186668181357948,0.4186668725428092,5850.8,7,2,0.34417493928260917,2022-07,3,0,29,20,0.5561732501888794,0.24639504962510048,0.34417493928260917,0.4508961684619737,0.6230894494757592
2022-07-21,0.0783695742407261,0.20926060150005488,0.3594296033897312,0.3594296033897312,3787.94,7,3,0.3447102992100249,2022-07,3,0,29,21,0.4867186883323374,0.2129144701575754,0.3447102992100249,0.44723181196121026,0.20213369466290643
2022-07-22,0.07727574657394987,0.1488582069663641,0.2886423779608501,0.2886423779608501,4241.66,7,4,0.3466474680411827,2022-07,3,0,29,22,0.25410290817649783,0.24997348422956642,0.3466474680411827,0.4495133864062369,0.29472167691748863
