Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP
07-05-2023,92035.63,122049.23,69681.96,69681.96,3955.51
08-05-2023,137091.55,101338.68,62148.18,62148.19,5135.08
09-05-2023,169286.20,100865.38,76512.33,76512.33,6624.05
10-05-2023,122926.35,103794.15,68222.86,68222.86,5576.55
11-05-2023,127257.48,104307.95,63790.10,63790.09,5865.10
12-05-2023,108991.43,105849.80,61120.18,61120.18,5484.49
13-05-2023,99730.48,110001.80,58283.32,58283.32,4961.89
14-05-2023,93493.80,129941.85,65210.80,65210.80,3628.08
15-05-2023,98681.63,119436.35,73554.18,73554.18,3315.91
16-05-2023,153344.10,114459.15,76198.30,73734.99,5565.90
17-05-2023,229991.68,105287.73,82869.60,82299.39,7446.51
18-05-2023,228364.48,131418.65,99135.19,99135.19,6286.46
19-05-2023,175987.90,99862.73,77894.11,77894.12,7731.67
20-05-2023,127503.75,128557.30,73646.85,73646.59,5442.98
21-05-2023,125718.83,122217.25,78097.83,78097.83,5002.42
22-05-2023,154677.73,144081.10,71983.49,72255.30,5456.94
23-05-2023,160246.28,161664.30,99169.16,98702.08,6343.97
24-05-2023,108800.73,155595.98,82422.04,82422.04,3307.37
25-05-2023,92048.90,149807.25,80229.64,80020.60,2661.15
26-05-2023,100350.88,161354.03,83460.52,83361.70,2529.70
27-05-2023,130078.95,140784.33,84610.50,84553.06,4577.18
28-05-2023,123209.13,147730.38,85720.71,85116.79,4603.27
29-05-2023,182126.08,150696.33,101804.44,101092.65,5257.31
30-05-2023,165567.00,150465.55,105569.04,105529.26,6053.21
31-05-2023,119174.45,146197.88,87671.33,87671.34,4743.87
01-06-2023,138443.95,151225.08,106405.90,106405.91,4901.51
02-06-2023,124302.18,112306.98,69758.29,69739.61,5633.77
03-06-2023,155730.18,114329.35,87064.42,87064.43,7022.37
04-06-2023,118998.78,134247.53,84564.52,84564.51,4305.55
05-06-2023,129844.10,94363.83,56328.87,56328.88,6279.99
06-06-2023,164602.38,115401.50,82680.82,82680.81,6578.83
07-06-2023,115771.83,116922.78,70438.22,70438.22,5368.61
08-06-2023,135118.18,105872.43,66948.75,66917.39,6368.55
09-06-2023,145772.85,109191.38,78712.40,78712.40,6118.68
10-06-2023,127377.53,120067.40,85487.42,85487.43,5128.76
11-06-2023,110069.55,138227.88,81539.81,81539.81,4235.38
